ticker,earnings_date,analysis_date_revr,season,year,quarter,revr,analysis_date_ievr,closest_quote_date,days_to_earnings,ievr,avg_pre,avg_post,skew_ratio,vol_st,vol_mt,normative_realized_vol,methodology
TWX,2005-02-04,2005-01-05,Q1 2005,2005,Q1,0.8905866828315823,2005-01-06,2005-01-06,29,1.130644787170659,0.219871,0.2485959999999999,1.1519842348464255,0.1196065274061098,0.1343008263112872,0.1427799094822631,ST/MT Ratio (Expanding EWM)
AXP,2005-01-24,2004-12-25,Q1 2005,2005,Q1,1.3168688374193118,2004-12-24,2004-12-23,31,1.0771322537112011,0.1482,0.159631,1.036631855794856,0.139656842247659,0.1060522037421332,0.0930261173653388,ST/MT Ratio (Expanding EWM)
MXIM,2005-02-01,2005-01-02,Q1 2005,2005,Q1,1.098038776757213,2005-01-03,2005-01-03,29,1.0909118118510932,0.300698,0.328035,0.9042569827026248,0.2400905922312615,0.218654019615145,0.2106823749516287,ST/MT Ratio (Expanding EWM)
GDT,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.5029552894866851,2004-12-29,2004-12-29,29,0.9943625749728584,0.112374,0.1117404999999999,1.047414983562449,0.0933012731443548,0.1855060978473412,0.2705871068877937,ST/MT Ratio (Expanding EWM)
CME,2005-02-01,2005-01-02,Q1 2005,2005,Q1,1.4620311898573173,2005-01-03,2005-01-03,29,1.1218994887041656,0.344419,0.3864035,1.0161374329165649,0.7075383657699877,0.4839420462972735,0.252974385739809,ST/MT Ratio (Expanding EWM)
X,2005-01-24,2004-12-25,Q1 2005,2005,Q1,0.8610669458522761,2004-12-24,2004-12-23,31,1.1445168541164854,0.366587,0.419565,1.009984488777093,0.3296398909456592,0.3828272499989937,0.4166072892081255,ST/MT Ratio (Expanding EWM)
NEM,2005-02-24,2005-01-25,Q1 2005,2005,Q1,1.28218541550938,2005-01-26,2005-01-26,29,1.067741569908204,0.2426575,0.2590955,1.000138844649172,0.3313173719324256,0.2584005151866445,0.2151369967598858,ST/MT Ratio (Expanding EWM)
DIS,2005-01-31,2005-01-01,Q1 2005,2005,Q1,1.041895420012401,2004-12-31,2004-12-31,31,1.2274193353547314,0.165562,0.203214,1.032220656633041,0.1372133859716113,0.1316959296835935,0.1174850538547522,ST/MT Ratio (Expanding EWM)
PEP,2005-02-03,2005-01-04,Q1 2005,2005,Q1,1.1196830520763164,2005-01-05,2005-01-05,29,1.0578078078078077,0.157176,0.166262,0.966772872098316,0.1247054344246259,0.1113756559888754,0.0933274426091451,ST/MT Ratio (Expanding EWM)
LLY,2005-01-26,2004-12-27,Q1 2005,2005,Q1,1.073063399579259,2004-12-28,2004-12-28,29,1.0488805730134283,0.264287,0.2772055,1.3131096846119477,0.2024819118622806,0.1886951991295877,0.2149576581051283,ST/MT Ratio (Expanding EWM)
VRSN,2005-01-26,2004-12-27,Q1 2005,2005,Q1,1.3767957291081234,2004-12-28,2004-12-28,29,1.050618898831534,0.432704,0.454607,1.0010341070242934,0.7684065277302641,0.5581122249907263,0.476756092811548,ST/MT Ratio (Expanding EWM)
LMT,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.8740218674805553,2004-12-29,2004-12-29,29,0.996230533157965,0.209844,0.209053,1.030622418458909,0.1635632509222304,0.1871386254828107,0.1962785803306221,ST/MT Ratio (Expanding EWM)
T,2005-01-26,2004-12-27,Q1 2005,2005,Q1,1.2967225728267688,2004-12-28,2004-12-28,29,0.9820739084897844,0.255884,0.251297,0.9798541040418158,0.2015204684470569,0.1554075425769413,0.1389634573964675,ST/MT Ratio (Expanding EWM)
XMSR,2005-02-10,2005-01-11,Q1 2005,2005,Q1,1.0627419210503797,2005-01-12,2005-01-12,29,1.0995129848096177,0.4052234999999999,0.4455485,1.1056589344889114,0.3687419985147678,0.3469722904600538,0.3390416270277434,ST/MT Ratio (Expanding EWM)
AET,2005-02-10,2005-01-11,Q1 2005,2005,Q1,1.0438330164603404,2005-01-12,2005-01-12,29,1.177211560956282,0.2464963333333333,0.2901783333333333,1.4890384938811447,0.2408828008979121,0.230767562530979,0.2293945862069558,ST/MT Ratio (Expanding EWM)
BA,2005-02-02,2005-01-03,Q1 2005,2005,Q1,0.9880798810353792,2005-01-04,2005-01-04,29,1.0378043448902563,0.2184404999999999,0.2266985,1.065381247770515,0.1630330257653992,0.1649998435294137,0.1559906524452417,ST/MT Ratio (Expanding EWM)
NUE,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.4958947720646355,2004-12-29,2004-12-29,29,1.0882860288026146,0.352468,0.383586,1.0585086343604615,0.2855124920934676,0.575752171987515,0.7987090667943603,ST/MT Ratio (Expanding EWM)
APOL,2005-03-29,2005-02-27,Q1 2005,2005,Q1,1.05188549131001,2005-02-28,2005-02-28,29,1.041084347807867,0.3340809999999999,0.3478065,1.0983203983283991,0.2339533913926219,0.2224133646916816,0.2121813755651798,ST/MT Ratio (Expanding EWM)
LOW,2005-02-23,2005-01-24,Q1 2005,2005,Q1,1.079887687739136,2005-01-25,2005-01-25,29,1.0303702148232432,0.204773,0.210992,0.9931903170576738,0.1310275836215525,0.1213344546004346,0.1233211789796228,ST/MT Ratio (Expanding EWM)
BSX,2005-02-01,2005-01-02,Q1 2005,2005,Q1,1.2170906572711522,2005-01-03,2005-01-03,29,1.348559763700792,0.217013,0.292655,1.0004333414776945,0.2970861179558724,0.2440953072649258,0.2151258512418104,ST/MT Ratio (Expanding EWM)
VLO,2005-02-01,2005-01-02,Q1 2005,2005,Q1,0.8598083202460866,2005-01-03,2005-01-03,29,1.085035623613015,0.325346,0.353012,1.030538859529859,0.4775299886049616,0.5553912161123159,0.675352857263263,ST/MT Ratio (Expanding EWM)
GILD,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.98679860494871,2004-12-29,2004-12-29,29,1.2117768248407856,0.298026,0.361141,0.9813752543779348,0.2163588443512355,0.2192532936976344,0.2519215737595629,ST/MT Ratio (Expanding EWM)
MCD,2005-01-28,2004-12-29,Q1 2005,2005,Q1,1.0847439861688133,2004-12-30,2004-12-30,29,1.1725020779362605,0.164827,0.19326,1.0002609476648217,0.1551205282579967,0.1430019711894084,0.1402479599562744,ST/MT Ratio (Expanding EWM)
GD,2005-01-26,2004-12-27,Q1 2005,2005,Q1,1.1755039193330663,2004-12-28,2004-12-28,29,1.0859027360318638,0.1488835,0.161673,1.067216421043937,0.2044965424927392,0.1739650026932809,0.1627552155071435,ST/MT Ratio (Expanding EWM)
HON,2005-01-28,2004-12-29,Q1 2005,2005,Q1,0.9150892052222726,2004-12-30,2004-12-30,29,1.298591410316501,0.162148,0.210564,0.7865840052002988,0.1440876433302786,0.1574574833884966,0.1738888566815998,ST/MT Ratio (Expanding EWM)
CL,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.11161778449501,2004-12-29,2004-12-29,29,1.188272510427695,0.156794,0.186314,0.944485271971568,0.294277031569255,0.2647286105654924,0.2829910544666751,ST/MT Ratio (Expanding EWM)
BMY,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.9856941223743312,2004-12-29,2004-12-29,29,1.0952857514025347,0.207838,0.227642,1.1015136418562252,0.1398635052992368,0.1418934151320035,0.1641405869843396,ST/MT Ratio (Expanding EWM)
GIS,2005-03-22,2005-02-20,Q1 2005,2005,Q1,1.2919720329152649,2005-02-21,2005-02-22,29,0.920523430417918,0.162161,0.149273,0.984703667719213,0.2077460947538232,0.1607976716686779,0.1248410960102597,ST/MT Ratio (Expanding EWM)
KBH,2005-03-21,2005-02-19,Q1 2005,2005,Q1,0.946565516551138,2005-02-18,2005-02-18,31,1.0578155418559376,0.3287466666666666,0.3477533333333333,1.0913802935357777,0.2917784577047445,0.3082496167490391,0.2780847818903474,ST/MT Ratio (Expanding EWM)
APA,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.7136333408881689,2004-12-29,2004-12-29,29,1.157405884264627,0.249241,0.288473,0.9883260304934868,0.1715762911855919,0.2404263945572563,0.2802179561926953,ST/MT Ratio (Expanding EWM)
TOL,2005-02-23,2005-01-24,Q1 2005,2005,Q1,0.9929606894423788,2005-01-25,2005-01-25,29,1.0440181426128337,0.349674,0.365066,1.0005866042481597,0.3283608631457671,0.3306886834867211,0.3671997604443076,ST/MT Ratio (Expanding EWM)
APC,2005-01-28,2004-12-29,Q1 2005,2005,Q1,0.5832182942451044,2004-12-30,2004-12-30,29,1.173703406660556,0.209472,0.245858,1.001597031625051,0.0990500763215591,0.1698336237030523,0.1918953530008779,ST/MT Ratio (Expanding EWM)
SGP,2005-01-25,2004-12-26,Q1 2005,2005,Q1,1.180305445831254,2004-12-27,2004-12-27,29,1.17948687121285,0.249528,0.294315,1.011377223665598,0.2953327934244207,0.250217258987928,0.22263058519541,ST/MT Ratio (Expanding EWM)
ITW,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.11431011858431,2004-12-29,2004-12-29,29,1.0747246231524383,0.163594,0.1758185,1.098313651787375,0.1181427065860167,0.1060231838656483,0.090266958226922,ST/MT Ratio (Expanding EWM)
ADI,2005-02-10,2005-01-11,Q1 2005,2005,Q1,1.1721193265334164,2005-01-12,2005-01-12,29,1.0232331645013306,0.368611,0.377175,1.0365567994240898,0.2965009231558823,0.2529613806751178,0.2240807057993651,ST/MT Ratio (Expanding EWM)
OXY,2005-01-24,2004-12-25,Q1 2005,2005,Q1,0.823242341666381,2004-12-24,2004-12-23,31,1.094286494247063,0.197812,0.216463,0.9146741266501744,0.1683497033258633,0.2044959239889134,0.2481107810960894,ST/MT Ratio (Expanding EWM)
SYK,2005-01-26,2004-12-27,Q1 2005,2005,Q1,1.1148610337446905,2004-12-28,2004-12-28,29,1.0851138156676194,0.2132615,0.231413,1.1484142037167022,0.2333934424204119,0.2093475647242509,0.1954650808369454,ST/MT Ratio (Expanding EWM)
SEPR,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.7316056293241732,2004-12-29,2004-12-29,29,1.0654976124619078,0.355387,0.378664,1.001880356337393,0.2278486258462516,0.3114364033211838,0.4050960621107602,ST/MT Ratio (Expanding EWM)
COST,2005-03-02,2005-01-31,Q1 2005,2005,Q1,1.162796194045995,2005-02-01,2005-02-01,29,1.1079904096826765,0.1862295,0.2063404999999999,1.0833504258741486,0.185759125058176,0.1597520924211317,0.1459407951696466,ST/MT Ratio (Expanding EWM)
BAX,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.015235089166337,2004-12-29,2004-12-29,29,1.0803328026004335,0.211657,0.22866,1.0002646490328495,0.1583432557550833,0.1559670833334841,0.143661034973755,ST/MT Ratio (Expanding EWM)
KSS,2005-02-24,2005-01-25,Q1 2005,2005,Q1,1.258925266088092,2005-01-26,2005-01-26,29,1.0132063596107364,0.268507,0.272053,0.9736804888220044,0.2920456915326664,0.2319801654629996,0.2066404938326667,ST/MT Ratio (Expanding EWM)
SEBL,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.8781149414558478,2004-12-29,2004-12-29,29,1.0003828960992176,0.441373,0.441542,1.000984263129367,0.3013960732201735,0.3432307765091456,0.3844878797908067,ST/MT Ratio (Expanding EWM)
ALL,2005-02-02,2005-01-03,Q1 2005,2005,Q1,1.0857258608528433,2005-01-04,2005-01-04,29,1.114971756895782,0.154551,0.17232,0.9704380914108464,0.1260588674612436,0.1161056137708866,0.1153275396675477,ST/MT Ratio (Expanding EWM)
WM,2005-02-10,2005-01-11,Q1 2005,2005,Q1,0.8856543478427052,2005-01-12,2005-01-12,29,0.8512395860904198,0.1983525,0.1688454999999999,1.2114795207578712,0.1155612651240948,0.1304812260060387,0.1492368264018728,ST/MT Ratio (Expanding EWM)
AVP,2005-02-01,2005-01-02,Q1 2005,2005,Q1,0.821662795033561,2005-01-03,2005-01-03,29,1.0922151084702163,0.210703,0.230133,1.0810507025045817,0.2075352646275002,0.2525796055047416,0.2732054745642457,ST/MT Ratio (Expanding EWM)
KMB,2005-01-24,2004-12-25,Q1 2005,2005,Q1,0.8793661477272942,2004-12-24,2004-12-23,31,1.1395227399533612,0.139798,0.159303,0.952906132631708,0.1419955086317269,0.1614748407119283,0.1847437584001796,ST/MT Ratio (Expanding EWM)
EOG,2005-02-02,2005-01-03,Q1 2005,2005,Q1,0.7455599192256118,2005-01-04,2005-01-04,29,1.0052193199214088,0.331844,0.333576,1.003501811386028,0.1893601366248424,0.2539837935782874,0.3339136221702158,ST/MT Ratio (Expanding EWM)
BZH,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.0509305981337906,2004-12-29,2004-12-29,29,1.1718998682838482,0.291536,0.341651,1.0540742358386228,0.3382319531630518,0.3218404276777871,0.3265328762759567,ST/MT Ratio (Expanding EWM)
PHM,2005-02-02,2005-01-03,Q1 2005,2005,Q1,1.1392281273846578,2005-01-04,2005-01-04,29,1.129672218005814,0.349165,0.394442,1.006955960006114,0.3760533977347988,0.3300949025882199,0.337659493108562,ST/MT Ratio (Expanding EWM)
CAH,2005-02-04,2005-01-05,Q1 2005,2005,Q1,0.996530711808531,2005-01-06,2005-01-06,29,1.0473824990447078,0.285253,0.298769,1.000484015221928,0.300604375014837,0.30165088888158,0.3542558344370206,ST/MT Ratio (Expanding EWM)
IP,2005-02-03,2005-01-04,Q1 2005,2005,Q1,1.1822791717098025,2005-01-05,2005-01-05,29,1.0758407099835736,0.1753279999999999,0.188625,1.0313786187147114,0.1905320625380401,0.1611565754495144,0.1363256158925122,ST/MT Ratio (Expanding EWM)
EXC,2005-01-25,2004-12-26,Q1 2005,2005,Q1,0.964202437648042,2004-12-27,2004-12-27,29,1.1247300791767747,0.150044,0.168759,1.002820440844261,0.1615460145279368,0.1675436694829278,0.1934084955879808,ST/MT Ratio (Expanding EWM)
LXK,2005-01-24,2004-12-25,Q1 2005,2005,Q1,1.0846784022858966,2004-12-24,2004-12-23,31,1.1761311628769704,0.247997,0.291677,0.9907317521382886,0.1732006300027951,0.1596792465285424,0.1705577356560784,ST/MT Ratio (Expanding EWM)
ROK,2005-01-26,2004-12-27,Q1 2005,2005,Q1,1.0515132206308884,2004-12-28,2004-12-28,29,1.0994847858136374,0.191959,0.211056,0.9536013591721766,0.3834862801918709,0.3646994375988789,0.2008840785208037,ST/MT Ratio (Expanding EWM)
EMR,2005-02-01,2005-01-02,Q1 2005,2005,Q1,1.1903181297893786,2005-01-03,2005-01-03,29,1.1144890903650126,0.157063,0.175045,0.9727371256928748,0.1473363069852222,0.1237789321173262,0.104255284994026,ST/MT Ratio (Expanding EWM)
OMC,2005-02-22,2005-01-23,Q1 2005,2005,Q1,1.1892663510120356,2005-01-24,2005-01-24,29,0.954648069661004,0.2186015,0.2086875,1.1819709709659936,0.1798894554866427,0.1512608637531545,0.1423082447628578,ST/MT Ratio (Expanding EWM)
NOC,2005-02-02,2005-01-03,Q1 2005,2005,Q1,0.9514404425423733,2005-01-04,2005-01-04,29,1.0542282754125356,0.1943266666666666,0.2048646666666666,1.2238478996660416,0.1393698321590838,0.146482980885981,0.1760726014359607,ST/MT Ratio (Expanding EWM)
UNP,2005-01-24,2004-12-25,Q1 2005,2005,Q1,0.9746021165916852,2004-12-24,2004-12-23,31,1.002479868397543,0.1623069999999999,0.1627095,0.9601442055109696,0.1608726125752496,0.1650649119641181,0.1862798702899948,ST/MT Ratio (Expanding EWM)
D,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.9594710065834936,2004-12-29,2004-12-29,29,0.7833038153685626,0.145674,0.114107,1.3896743174403297,0.1067935083914847,0.1113045706005829,0.1305388477305043,ST/MT Ratio (Expanding EWM)
HAR,2005-01-26,2004-12-27,Q1 2005,2005,Q1,1.175671051968206,2004-12-28,2004-12-28,29,1.3091675606093116,0.2330499999999999,0.3051015,1.021667364314658,0.343266897231936,0.2919752907560907,0.2556086955327574,ST/MT Ratio (Expanding EWM)
PCAR,2005-02-01,2005-01-02,Q1 2005,2005,Q1,0.8499046582535927,2005-01-03,2005-01-03,29,1.088748782695832,0.2479865,0.269995,1.0770807536561693,0.1366466584636254,0.1607788087012144,0.1583991220269356,ST/MT Ratio (Expanding EWM)
CVS,2005-02-02,2005-01-03,Q1 2005,2005,Q1,1.2123405665200273,2005-01-04,2005-01-04,29,1.1299413181200708,0.1991244999999999,0.224999,1.099006977001735,0.2104725480568043,0.1736084346834626,0.1314925544452131,ST/MT Ratio (Expanding EWM)
HIG,2005-01-26,2004-12-27,Q1 2005,2005,Q1,1.0073171069698306,2004-12-28,2004-12-28,29,1.1393338267949666,0.168875,0.192405,1.002398038831609,0.1623644865248041,0.1611850780666499,0.195817311255841,ST/MT Ratio (Expanding EWM)
OSIP,2005-02-07,2005-01-08,Q1 2005,2005,Q1,0.4020115462972249,2005-01-07,2005-01-07,31,1.2491977735662854,0.318177,0.397466,1.0003332589264662,0.3229210643663793,0.8032631583363267,1.1787801683658503,ST/MT Ratio (Expanding EWM)
MFE,2005-03-31,2005-03-01,Q1 2005,2005,Q1,0.8621688406024756,2005-03-02,2005-03-02,29,0.940475586878264,0.39446,0.37098,1.0009160134889965,0.2921249522129621,0.3388256898832344,0.4378544204231583,ST/MT Ratio (Expanding EWM)
PRU,2005-02-08,2005-01-09,Q1 2005,2005,Q1,1.037635453366022,2005-01-10,2005-01-10,29,1.3648146312450435,0.161408,0.220292,0.879780229363799,0.1641192443009766,0.1581665735963285,0.1821879887088982,ST/MT Ratio (Expanding EWM)
MRO,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.8418291197338355,2004-12-29,2004-12-29,29,1.143922922146705,0.197307,0.225704,0.9689295500751348,0.1617163995083662,0.1921012183084101,0.2138111957665145,ST/MT Ratio (Expanding EWM)
BDK,2005-01-26,2004-12-27,Q1 2005,2005,Q1,1.412501344315768,2004-12-28,2004-12-28,29,1.1103134664902958,0.2124309999999999,0.235865,1.074476693737874,0.2996037639325516,0.2121086575515319,0.1165941903496911,ST/MT Ratio (Expanding EWM)
MCIP,2005-02-25,2005-01-26,Q1 2005,2005,Q1,1.181961378975107,2005-01-27,2005-01-27,29,1.04962656085891,0.34276,0.35977,0.9933373712901272,0.4052079646547413,0.342826738557314,0.2029143493731446,ST/MT Ratio (Expanding EWM)
SGTL,2005-01-25,2004-12-26,Q1 2005,2005,Q1,1.3772459154896444,2004-12-27,2004-12-27,29,1.0908112745620833,0.421941,0.460258,0.9551881666877954,0.9565552043244726,0.6945420520520433,0.4889953090728897,ST/MT Ratio (Expanding EWM)
PHS,2005-02-03,2005-01-04,Q1 2005,2005,Q1,0.837719805275996,2005-01-05,2005-01-05,29,1.19704640078061,0.364843,0.436734,0.9842665407702164,0.2586150675977747,0.3087130875610266,0.3567039512230802,ST/MT Ratio (Expanding EWM)
CI,2005-02-09,2005-01-10,Q1 2005,2005,Q1,0.921037171445178,2005-01-11,2005-01-11,29,1.1500681016960068,0.2639435,0.3035529999999999,1.0299299867748564,0.204678879981941,0.2222265141164543,0.2537348299309314,ST/MT Ratio (Expanding EWM)
DHR,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.9167466593448496,2004-12-29,2004-12-29,29,1.1698860795269257,0.1839879999999999,0.215245,1.191720355266837,0.1145281394037107,0.1249288865536286,0.1419836099267604,ST/MT Ratio (Expanding EWM)
NSC,2005-01-26,2004-12-27,Q1 2005,2005,Q1,1.3632047544321468,2004-12-28,2004-12-28,29,1.1074235807860262,0.22213,0.245992,1.1642826817340803,0.3295484991545632,0.2417454150472348,0.1702800791603497,ST/MT Ratio (Expanding EWM)
ETR,2005-01-31,2005-01-01,Q1 2005,2005,Q1,0.99170676475389,2004-12-31,2004-12-31,31,1.1440188450387552,0.135208,0.1546805,1.0978047363470371,0.1408600390631893,0.1420379935576484,0.1500179831854375,ST/MT Ratio (Expanding EWM)
MET,2005-02-09,2005-01-10,Q1 2005,2005,Q1,0.9812501328783456,2005-01-11,2005-01-11,29,1.083335506652966,0.191719,0.207696,0.9926837603297228,0.1685111403273942,0.1717310751674426,0.1867534155179516,ST/MT Ratio (Expanding EWM)
BEN,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.007091779681906,2004-12-29,2004-12-29,29,1.137284206190358,0.189359,0.215355,0.976112540143201,0.1756756791420635,0.1744385990297244,0.1748974073763775,ST/MT Ratio (Expanding EWM)
DUK,2005-02-02,2005-01-03,Q1 2005,2005,Q1,1.07623965564758,2005-01-04,2005-01-04,29,1.1118102133673862,0.161318,0.179355,0.8790740508639903,0.1760061254960403,0.1635380415249021,0.1609254092135834,ST/MT Ratio (Expanding EWM)
MU,2005-03-29,2005-02-27,Q1 2005,2005,Q1,0.8469184754339821,2005-02-28,2005-02-28,29,1.0936472906669903,0.3704325,0.4051224999999999,0.9700324103393771,0.2035114790265804,0.2402964215915778,0.2468681874659261,ST/MT Ratio (Expanding EWM)
MCK,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.4462512431688028,2004-12-29,2004-12-29,29,1.07139390631839,0.2730205,0.2925124999999999,1.15260541990454,0.5620155085641798,0.3886015733564923,0.2832541879273539,ST/MT Ratio (Expanding EWM)
DGX,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.5098033990058144,2004-12-29,2004-12-29,29,1.3313739695717726,0.1276775,0.1699864999999999,0.9439593526533684,0.355537733697246,0.2354861129146768,0.1182960373853168,ST/MT Ratio (Expanding EWM)
NFB,2005-01-25,2004-12-26,Q1 2005,2005,Q1,0.4188673135778791,2004-12-27,2004-12-27,29,0.9240832224482408,0.196149,0.181258,0.8717888318014542,0.2010823395045956,0.4800621413664182,0.7038094235467166,ST/MT Ratio (Expanding EWM)
ADM,2005-01-28,2004-12-29,Q1 2005,2005,Q1,1.1754552881912623,2004-12-30,2004-12-30,29,1.0164567175992312,0.194571,0.197773,1.0209359799770177,0.3015309946282453,0.2565227258386217,0.2208987777677879,ST/MT Ratio (Expanding EWM)
